PositionX, PositionZ
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
-9.252873E-05,-1.39895
-0.03527784,-1.182237
-0.1503864,-0.8188409
-0.3732471,-0.3761002
-0.6508464,0.04236394
-0.9549405,0.4398817
-1.267261,0.8304111
-1.599174,1.212942
-1.960398,1.558647
-2.369259,1.849927
-2.821327,2.065559
-3.304089,2.199317
-3.802011,2.246902
-4.301375,2.207057
-4.785678,2.080988
-5.240085,1.872914
-5.653346,1.587397
-6.008856,1.235936
-6.298565,0.8273561
-6.561881,0.4017088
-6.849889,-0.00978654
-7.179368,-0.3855667
-7.564668,-0.7054635
-7.998954,-0.9531019
-8.468606,-1.121138
-8.86174,-1.193436
-9.10169,-1.208245
-9.111045,-1.208335
-9.111045,-1.208335
-9.111045,-1.208335
-9.111045,-1.208335
-9.111045,-1.208335
-9.111045,-1.208335
-9.155013,-1.190158
-9.400287,-1.051157
-9.734164,-0.7767723
-10.06239,-0.3970812
-10.31931,0.0341338
-10.49648,0.5015262
-10.58981,0.9935864
-10.59599,1.494422
-10.51512,1.98771
-10.35727,2.441267
-10.18793,2.746868
-10.08879,2.874422
-9.965914,2.973599
-9.664084,3.148973
-9.214261,3.31588
-8.721209,3.407042
-8.220344,3.410846
-7.812799,3.344238
-7.524497,3.243807
-7.148119,3.05571
-6.715913,2.800598
-6.268618,2.522835
-5.847447,2.249608
-5.445697,1.947509
-5.085176,1.600255
-4.787587,1.199234
-4.563197,0.7502682
-4.419877,0.2703268
-4.346133,-0.2264464
-4.31768,-0.7260678
-4.305357,-1.228392
-4.275052,-1.729336
-4.200344,-2.223959
-4.056785,-2.702865
-3.832803,-3.150446
-3.53455,-3.552031
-3.17043,-3.896013
-2.752057,-4.171285
-2.291134,-4.369802
-1.802183,-4.484941
-1.302601,-4.512932
-0.8057845,-4.453611
-0.3259174,-4.308337
0.1200129,-4.082453
0.5217593,-3.780818
0.8634305,-3.415229
1.1504,-3.00296
1.439749,-2.592196
1.759125,-2.205934
2.125764,-1.864367
2.543698,-1.590134
3.003275,-1.392607
3.491913,-1.277822
3.991076,-1.249986
4.488377,-1.309576
4.968551,-1.455173
