PositionX, PositionZ
11.83486,-8.411447
-2.320757,-0.2819894
-2.295544,-0.1709681
-2.290008,-0.161083
-2.18882,-0.02889338
-1.998176,0.1550498
-1.886128,0.2431099
-1.875284,0.2507926
-1.875284,0.2507926
-1.875284,0.2507926
-1.875284,0.2507926
-1.875284,0.2507926
-1.791862,0.2363816
-1.563603,0.1673488
-1.18135,0.01426772
-0.6819136,-0.2065918
-0.2390897,-0.4036101
0.0750046,-0.5433549
0.2618217,-0.6264724
0.2870722,-0.6377066
0.2870722,-0.6377066
0.2971409,-0.6440706
0.4304534,-0.7470118
0.7089627,-0.9976664
1.058675,-1.324246
1.428043,-1.669251
1.85561,-2.068617
2.26748,-2.453321
2.635559,-2.797123
3.010371,-3.138804
3.402747,-3.461422
3.852162,-3.810012
4.312985,-4.166671
4.712666,-4.475898
5.116621,-4.776736
5.533089,-5.054079
5.956112,-5.323067
6.429108,-5.623583
6.748554,-5.826541
6.89012,-5.916485
6.911397,-5.930003
6.911397,-5.930003
6.911397,-5.930003
7.010691,-5.983909
7.28432,-6.124097
7.675008,-6.32378
8.122757,-6.552626
8.570804,-6.781624
9.074753,-7.039194
9.523781,-7.268694
9.969296,-7.496398
10.4235,-7.728546
10.93254,-7.988718
11.37795,-8.216365
11.82683,-8.445789
12.27897,-8.676884
16.18904,-8.903414
16.14925,-9.102416
16.12238,-9.200107
16.09272,-9.23629
16.08491,-9.236742
16.08491,-9.236726
16.08492,-9.236709
16.08492,-9.236688
16.08492,-9.23667
16.08492,-9.236653
16.08492,-9.236637
16.08493,-9.23662
16.08493,-9.236599
16.08493,-9.236582
16.08493,-9.236565
16.08494,-9.236545
16.08494,-9.236527
16.08494,-9.23651
16.08494,-9.236493
16.08495,-9.236473
16.08495,-9.236456
16.08495,-9.236439
16.08495,-9.236422
16.08495,-9.236404
16.08496,-9.236387
16.08496,-9.236367
16.08496,-9.236349
16.08496,-9.236333
16.08496,-9.236316
