PositionX, PositionZ
5.722831,5.254832
0.02109934,0.5072005
0.0974661,1.003663
0.2160711,1.507427
0.316076,2.00136
0.3715623,2.498216
0.3614701,2.908335
0.3112254,3.163746
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.2760498,3.261637
0.3712983,3.28599
0.617829,3.351775
1.019296,3.458424
1.511685,3.574843
2.009571,3.659737
2.512118,3.730072
3.013912,3.799582
3.514103,3.868869
4.024002,3.939502
4.486697,4.003595
4.807754,4.048069
4.980277,4.071967
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.004236,4.075286
5.021067,4.077618
5.177592,4.099299
5.487853,4.142522
5.937973,4.216507
6.435185,4.319125
6.925902,4.424044
7.42618,4.531008
7.919302,4.636442
8.408786,4.741097
8.901689,4.848657
9.390441,4.976922
9.865453,5.151299
