PositionX, PositionZ
-9.188338,-8.327475
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
-0.0004067652,-0.001209589
-0.04373276,-0.07706475
-0.231508,-0.3229038
-0.5660536,-0.6323132
-0.9841779,-0.9064516
-1.437499,-1.123963
-1.907341,-1.304604
-2.379459,-1.470906
-2.852423,-1.641869
-3.313974,-1.837454
-3.751573,-2.080797
-4.146519,-2.389654
-4.480988,-2.761746
-4.753209,-3.180761
-4.979361,-3.627109
-5.182125,-4.087407
-5.389135,-4.544147
-5.62615,-4.985271
-5.9145,-5.396332
-6.249378,-5.76803
-6.611977,-6.116564
-6.981614,-6.456969
-7.350276,-6.796193
-7.718628,-7.135132
-8.089434,-7.476329
-8.460033,-7.817336
-8.829412,-8.15722
