PositionX, PositionZ
0,-1.4
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.0765,11.33181
-12.07643,11.333
-12.06258,11.43536
-11.99402,11.68895
-11.81849,12.0674
-11.51475,12.46403
-11.10871,12.79826
-10.69396,13.08544
-10.24387,13.31027
-9.773226,13.48759
-9.257883,13.60469
-8.754314,13.6286
-8.25521,13.56407
-7.777712,13.41433
-7.332775,13.18335
-6.93591,12.87943
-6.579265,12.48641
-6.314688,12.0617
-6.127703,11.59548
-6.025008,11.10419
-6.009768,10.60206
-6.089002,10.07855
-6.251162,9.605376
-6.493024,9.167548
-6.807069,8.778605
-7.18352,8.450495
-7.611672,8.192465
-8.078633,8.012722
-8.570321,7.917175
-9.072592,7.908926
-9.566717,7.987883
-10.06789,8.16463
-10.42636,8.367486
-10.62607,8.531449
-10.69305,8.607272
-10.70304,8.626439
-10.75808,8.783668
-10.81337,9.120582
-10.80703,9.591034
-10.71415,10.08476
-10.53496,10.55794
-10.26181,11.01016
-9.930986,11.38529
-9.539442,11.69751
-9.096144,11.93828
-8.618687,12.09736
-8.094191,12.17178
-7.590151,12.1517
-7.099718,12.04429
-6.636707,11.85365
-6.214303,11.58554
-5.843332,11.24686
-5.510613,10.83962
-5.193441,10.45106
-4.852362,10.09177
-4.553364,9.845989
-4.350326,9.728827
-4.282635,9.702388
-4.282635,9.702388
-4.282635,9.702388
-4.202933,9.71977
-3.958287,9.806394
-3.591215,9.97436
-3.146489,10.20612
-2.724963,10.47423
-2.408069,10.74132
-2.279428,10.88849
-2.286309,10.87905
-2.287046,10.87742
-2.28606,10.88932
-2.288007,10.89906
-2.287605,10.88449
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.285239,10.87733
-2.271361,10.87425
-2.284923,10.8766
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
-2.287046,10.87742
