PositionX, PositionZ
5.492705,6.322162
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0.002119659,0.0008466801
0.1212295,0.04337236
0.3864069,0.1333455
0.7904295,0.2787108
1.256237,0.476221
1.718951,0.6903549
2.18076,0.905105
2.640858,1.11906
3.099662,1.332412
3.553911,1.543647
4.00775,1.754691
4.467476,1.968472
4.922549,2.18009
5.354881,2.381133
5.665924,2.525774
5.83554,2.604649
5.866696,2.619137
5.866696,2.619137
5.866696,2.619137
5.866696,2.619137
5.866696,2.619137
5.879002,2.625793
6.017829,2.700881
6.296391,2.851548
6.703047,3.071498
7.106245,3.289578
7.382408,3.438948
7.524528,3.515817
7.539713,3.52403
7.539713,3.52403
7.539713,3.52403
7.539713,3.52403
7.539713,3.52403
7.539713,3.52403
7.539713,3.52403
7.539713,3.52403
7.601532,3.564133
7.798133,3.691672
8.126704,3.904822
8.54655,4.177184
8.975251,4.45529
9.398781,4.730042
9.823102,5.005306
10.24472,5.27882
