PositionX, PositionZ
0,-1.4
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.359,6.943274
-11.33369,7.056921
-11.22047,7.363908
-10.98546,7.769787
-10.66408,8.154
-10.28104,8.475863
-9.847442,8.726599
-9.376315,8.898107
-8.883524,8.98471
-8.383167,8.984306
-7.890507,8.896802
-7.420614,8.724977
-6.987344,8.473715
-6.604492,8.150754
-6.282024,7.769211
-6.010818,7.348921
-5.790836,6.896888
-5.647859,6.418414
-5.59006,5.919583
-5.620195,5.419134
-5.736786,4.932387
-5.936206,4.473557
-6.213386,4.055279
-6.559325,3.691609
-6.949117,3.375485
-7.329849,3.050603
-7.680921,2.694324
-7.980001,2.291875
-8.205444,1.844602
-8.349246,1.366329
-8.407698,0.8703842
-8.379177,0.3714017
-8.264172,-0.1156336
-8.065701,-0.5759589
-7.789392,-0.9955431
-7.445552,-1.359066
-7.043414,-1.657303
-6.595363,-1.881115
-6.116127,-2.023284
-5.617957,-2.079906
-5.118054,-2.049059
-4.628818,-1.939677
-4.144074,-1.809951
-3.652574,-1.708041
-3.156469,-1.63931
-2.661375,-1.566098
-2.171407,-1.458119
-1.699232,-1.291306
-1.255088,-1.057111
-0.8344963,-0.7823339
-0.4120725,-0.5149069
0.03080513,-0.2800363
0.4930302,-0.08707801
0.9642009,0.08479179
1.437276,0.2542878
1.908952,0.4232829
2.381521,0.5925977
2.853181,0.7615867
3.324279,0.9303601
3.797682,1.092993
4.279002,1.235537
4.761183,1.371298
5.244355,1.507535
5.724062,1.653895
6.194365,1.829042
6.659114,2.020058
7.121216,2.211166
7.585588,2.403213
8.049932,2.595248
8.512966,2.786599
8.980387,2.969597
9.454647,3.137101
9.92825,3.302283
10.40075,3.46708
10.87341,3.631933
11.34821,3.797534
11.82175,3.962694
12.3065,4.131763
12.78064,4.29713
13.2553,4.460645
13.73443,4.604488
14.22467,4.704576
