PositionX, PositionZ
0,-1.4
17.46049,-5.586381
17.46049,-5.586381
17.46049,-5.586381
17.46049,-5.586381
17.46049,-5.586381
17.46049,-5.586381
17.46049,-5.586381
17.46049,-5.586381
17.46049,-5.586381
17.46049,-5.586381
17.46049,-5.586381
17.45217,-5.504692
17.40168,-5.273924
17.22757,-4.855019
16.95208,-4.429603
16.61125,-4.064177
16.14648,-3.724787
15.6939,-3.509411
15.20407,-3.374611
14.6348,-3.306694
14.1343,-3.292248
13.63282,-3.292641
13.12317,-3.287077
12.55679,-3.244695
12.05997,-3.17763
11.56002,-3.104842
11.05968,-3.031995
10.56435,-2.959878
10.02004,-2.880629
9.675141,-2.830414
9.475218,-2.801306
9.417653,-2.793726
9.228098,-2.779905
8.889285,-2.76937
8.405673,-2.756785
7.837149,-2.74199
7.324753,-2.728655
6.75611,-2.713857
6.249813,-2.700681
5.748545,-2.687636
5.247052,-2.674585
4.671518,-2.659608
4.163631,-2.644236
3.594454,-2.601901
3.087168,-2.543222
2.522941,-2.476192
2.021167,-2.416582
1.523984,-2.357517
1.017201,-2.297311
0.5206136,-2.238317
0.04479838,-2.181788
0.130098,-2.190493
0.1957356,-2.199321
0.1674739,-2.188901
0.1895228,-2.194343
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
0.1999025,-2.200214
