PositionX, PositionZ
0,-1.4
-1.985766,-6.373031
-1.985766,-6.373031
-1.985766,-6.373031
-1.985766,-6.373031
-1.985766,-6.373031
-1.985766,-6.373031
-1.985766,-6.373031
-1.988101,-6.331266
-2.015051,-6.131291
-2.111723,-5.788838
-2.321074,-5.350684
-2.61529,-4.938619
-2.973927,-4.587669
-3.387151,-4.305334
-3.848476,-4.097362
-4.337858,-3.973994
-4.842417,-3.93878
-5.345029,-3.992449
-5.831552,-4.133965
-6.286638,-4.35921
-6.688929,-4.656093
-6.957762,-4.937129
-7.087091,-5.130257
-7.135783,-5.24438
-7.188779,-5.482238
-7.207193,-5.878856
-7.144475,-6.377697
-6.994925,-6.858714
-6.765365,-7.303413
-6.461895,-7.7014
-6.087162,-8.045595
-5.658927,-8.317322
-5.190672,-8.50835
-4.69817,-8.615614
-4.191748,-8.654131
-3.690894,-8.65002
-3.189044,-8.644079
-2.681926,-8.669534
-2.178371,-8.731972
-1.679263,-8.806794
-1.180477,-8.881968
-0.6815924,-8.957158
-0.1807238,-9.032644
0.3174882,-9.10227
0.8179348,-9.157266
1.317332,-9.210271
1.822704,-9.258555
2.330425,-9.287854
2.837267,-9.312431
3.000091,-9.320321
2.903556,-9.31564
2.910487,-9.315976
2.903801,-9.315652
2.897822,-9.315362
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.906276,-9.307984
2.924223,-9.299102
2.91061,-9.304893
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
2.893102,-9.315133
