PositionX, PositionZ
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0.00060107,-1.396127
0.04471751,-1.234861
0.1873452,-0.9143909
0.4558242,-0.5131395
0.802504,-0.1502773
1.208811,0.1473326
1.658953,0.3685656
2.141542,0.5079781
2.641645,0.5610322
3.142818,0.5258966
3.629373,0.4039064
4.087179,0.1990472
4.502398,-0.08275804
4.861893,-0.432348
5.152949,-0.8403922
5.370739,-1.292626
5.506045,-1.774773
5.555272,-2.274173
5.516558,-2.775153
5.391506,-3.25965
5.184171,-3.714961
4.901099,-4.126928
4.549485,-4.484408
4.140651,-4.775578
3.693349,-5.000094
3.224203,-5.177874
2.746506,-5.331822
2.267193,-5.482229
1.78982,-5.635535
1.318914,-5.812218
0.870342,-6.034461
0.4558018,-6.313511
0.06902692,-6.630947
-0.3052442,-6.965604
-0.6775863,-7.301618
-1.049097,-7.636881
-1.420674,-7.972205
-1.79261,-8.307852
-2.16383,-8.642854
-2.537586,-8.976318
-2.926053,-9.295121
-3.323656,-9.600671
-3.723542,-9.906682
-4.126216,-10.21483
-4.5237,-10.519
-4.922269,-10.824
-5.320572,-11.1288
-5.717708,-11.43271
-6.116671,-11.73821
-6.511073,-12.05024
-6.900629,-12.36504
-7.290843,-12.68037
-7.681625,-12.99616
