PositionX, PositionZ
0,-1.4
4.216805,13.76546
4.216805,13.76546
4.216805,13.76546
4.216805,13.76546
4.216805,13.76546
4.216805,13.76546
4.216805,13.76546
4.216805,13.76546
4.216805,13.76546
4.216805,13.76546
4.216805,13.76546
4.216689,13.76695
4.199152,13.88162
4.12084,14.13968
3.921654,14.53103
3.615281,14.93758
3.2447,15.28139
2.821162,15.55385
2.337551,15.75392
1.837505,15.86124
1.330565,15.87819
0.8009886,15.79768
0.2996602,15.62326
-0.1468883,15.36932
-0.5347083,15.04604
-0.827204,14.70167
-0.9805236,14.4404
-1.035611,14.29274
-1.068894,14.08669
-1.096762,13.72816
-1.156002,13.23351
-1.264583,12.73759
-1.445449,12.26455
-1.709477,11.82628
-2.038321,11.4441
-2.412296,11.1041
-2.808197,10.79121
-3.213999,10.48268
-3.630702,10.16297
-4.030981,9.826261
-4.400569,9.470263
-4.753058,9.115176
-5.110878,8.754391
-5.471725,8.389894
-5.826294,8.011474
-6.153052,7.611035
-6.457841,7.207265
-6.769533,6.791863
-7.076521,6.382729
-7.385982,5.970299
-7.694744,5.558801
-7.999764,5.152289
-8.312016,4.734204
-8.612345,4.331217
-8.91489,3.925256
-9.221194,3.514251
-9.527149,3.103715
-9.838561,2.685664
-10.14256,2.263751
-10.43409,1.847402
-10.72454,1.432546
-11.0189,1.01211
-11.31899,0.5834903
-11.61741,0.1572409
-11.90524,-0.2538726
-12.1966,-0.6700265
-12.48723,-1.085131
-12.77489,-1.495998
-12.81859,-1.558417
-12.80884,-1.544494
-12.80372,-1.537183
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
-12.79392,-1.523188
