PositionX, PositionZ
0,-1.4
0,1.731948E-19
0,1.731948E-19
0,1.731948E-19
0,1.731948E-19
0,1.731948E-19
0.005711778,0.02899131
0.08029572,0.2749342
0.2631507,0.640421
0.5592128,1.043194
0.9216666,1.388859
1.337725,1.665723
1.797277,1.866592
2.285006,1.984317
2.784393,2.015132
3.28309,1.958324
3.763268,1.815669
4.211638,1.591382
4.614005,1.292324
4.956927,0.9292514
5.232679,0.5101248
5.430656,0.05041784
5.545621,-0.4364507
5.574014,-0.938002
5.515094,-1.433565
5.398381,-1.827167
5.283988,-2.058181
5.267956,-2.08259
5.267956,-2.08259
5.267956,-2.08259
5.159606,-2.123453
4.845954,-2.192835
4.382221,-2.214014
3.886699,-2.151643
3.407922,-2.003506
2.96334,-1.775144
