PositionX, PositionZ
6.708622,-9.742718
0.01185542,0.1838206
0.07991333,0.5151649
0.2532202,0.9590047
0.5127887,1.387435
0.8419047,1.763011
1.234552,2.077931
1.713187,2.334973
2.215003,2.493526
2.715303,2.556829
3.217054,2.531773
3.704293,2.420347
4.164769,2.225932
4.586062,1.95318
4.951899,1.612533
5.253122,1.213147
5.490191,0.7422093
5.634993,0.2609711
5.715975,-0.2331685
5.758732,-0.7348197
5.788445,-1.235398
5.817731,-1.736072
5.846988,-2.236236
5.876191,-2.735487
5.907458,-3.270025
5.936856,-3.772594
5.966088,-4.27234
5.995487,-4.77296
6.034057,-5.271908
6.093531,-5.768862
6.161201,-6.294581
6.225528,-6.794341
6.28982,-7.293822
6.353899,-7.791648
6.417855,-8.288524
6.48201,-8.786945
6.549876,-9.31419
