PositionX, PositionZ
6.996394,-9.764969
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
0,2.398082E-19
8.994339E-05,0.001243024
0.02619029,0.1557108
0.1299725,0.4898226
0.3494865,0.9203794
0.6496405,1.320058
1.017203,1.663381
1.437599,1.936358
1.897854,2.131421
2.384942,2.243548
2.885689,2.269201
3.382745,2.207311
3.860817,2.059965
4.307404,1.830882
4.722157,1.513524
5.061353,1.140941
5.328632,0.7173841
5.518159,0.2532225
5.6238,-0.2358574
5.6426,-0.7365757
5.573827,-1.23354
5.419094,-1.711426
5.18414,-2.153751
4.876644,-2.548535
4.517491,-2.896793
4.154468,-3.242805
3.81668,-3.612511
3.524242,-4.023619
3.302857,-4.481751
3.167554,-4.963014
3.117974,-5.46039
3.156029,-5.960813
3.281249,-6.448397
3.48149,-6.907642
3.730983,-7.341373
4.005045,-7.759592
4.284335,-8.174867
4.564495,-8.591427
4.844692,-9.008041
5.125112,-9.424963
5.410404,-9.837383
