trialNumber,time,PositionX,PositionZ,HeadingDeg,DistanceToChest
1,0.000,4.101482,7.754416,90.000,20.580
1,0.102,4.101482,7.754416,90.000,20.580
1,0.205,4.101482,7.754416,90.000,20.580
1,0.308,4.101482,7.754416,90.000,20.580
1,0.408,4.101482,7.754416,90.000,20.580
1,0.508,4.101482,7.754416,90.000,20.580
1,0.610,4.101482,7.754416,90.000,20.580
1,0.712,4.101482,7.754416,90.000,20.580
1,0.813,4.101482,7.754416,90.000,20.580
1,0.916,4.101482,7.754416,90.309,20.580
1,1.016,4.101142,7.761043,93.175,20.583
1,1.118,4.085799,7.893392,99.201,20.634
1,1.218,4.016423,8.16944,108.157,20.712
1,1.318,3.841041,8.567682,118.177,20.766
1,1.419,3.563635,8.986482,128.237,20.754
1,1.521,3.213621,9.35387,138.399,20.665
1,1.626,2.789148,9.662598,148.911,20.494
1,1.727,2.335927,9.881823,158.993,20.258
1,1.827,1.854476,10.01827,169.014,19.959
1,1.929,1.345322,10.06906,179.261,19.592
1,2.033,0.8277645,10.02719,189.660,19.166
1,2.134,0.3389818,9.89727,199.789,18.710
1,2.236,-0.1222573,9.681916,209.983,18.220
1,2.338,-0.5354624,9.390491,220.109,17.717
1,2.439,-0.8902962,9.032034,230.210,17.214
1,2.541,-1.179726,8.611582,240.432,16.720
1,2.643,-1.389528,8.147615,250.629,16.260
1,2.744,-1.513172,7.658354,260.735,15.854
1,2.845,-1.549093,7.15646,270.812,15.516
1,2.946,-1.546395,6.651454,269.330,15.216
1,3.047,-1.570544,6.148206,264.797,14.907
1,3.147,-1.647821,5.651017,257.227,14.567
1,3.248,-1.801747,5.171753,247.303,14.180
1,3.349,-2.037878,4.725579,237.194,13.747
1,3.450,-2.346341,4.330247,227.153,13.282
1,3.551,-2.724211,3.990865,216.981,12.786
1,3.653,-3.156089,3.723537,206.810,12.278
1,3.756,-3.63296,3.535466,196.543,11.770
1,3.858,-4.135963,3.435484,186.273,11.285
1,3.961,-4.646699,3.39463,185.069,10.826
1,4.061,-5.144232,3.335055,188.963,10.373
1,4.163,-5.643013,3.225854,196.034,9.896
1,4.265,-6.11827,3.043941,205.826,9.401
1,4.366,-6.550108,2.785388,215.440,8.898
1,4.467,-6.94171,2.465568,222.330,8.394
1,4.569,-7.315553,2.121257,221.893,7.892
1,4.671,-7.705558,1.79378,217.920,7.386
1,4.772,-8.114534,1.492561,215.408,6.878
1,4.874,-8.529776,1.200719,214.544,6.371
1,4.974,-8.947304,0.9242905,212.918,5.870
1,5.074,-9.369494,0.6510679,212.909,5.368
1,5.175,-9.793255,0.376831,212.909,4.863
1,5.277,-10.21788,0.1020324,212.909,4.357
1,5.378,-10.64424,-0.1738853,212.909,3.849
1,5.480,-11.07277,-0.4512098,212.909,3.339
1,5.582,-11.49883,-0.7269309,212.909,2.831
1,5.685,-11.93147,-1.006917,212.909,2.316
1,5.787,-12.35972,-1.284057,212.909,1.806
