trialNumber,time,PositionX,PositionZ
1,0.000,0,-1.4
1,0.100,-2.32415,0.3236817
1,0.200,-2.32415,0.3236817
1,0.301,-2.32415,0.3236817
1,0.401,-2.32415,0.3236817
1,0.502,-2.32415,0.3236817
1,0.602,-2.32415,0.3236817
1,0.703,-2.320381,0.3482586
1,0.803,-2.274386,0.5130233
1,0.908,-2.123508,0.8321691
1,1.009,-1.846936,1.221712
1,1.110,-1.490095,1.575275
1,1.211,-1.075339,1.862009
1,1.311,-0.6227421,2.074976
1,1.416,-0.1209027,2.240123
2,0.000,0.1192239,2.304159
2,0.100,8.822462,0.8729402
2,0.201,8.822462,0.8729402
2,0.301,8.822462,0.8729402
2,0.401,8.822462,0.8729402
2,0.507,8.822462,0.8729402
2,0.607,8.822462,0.8729402
2,0.708,8.822462,0.8729402
2,0.809,8.822462,0.8729402
2,0.909,8.822462,0.8729402
2,1.010,8.822462,0.8729402
2,1.115,8.822462,0.8729402
2,1.216,8.822462,0.8729402
2,1.316,8.822462,0.8729402
2,1.416,8.822462,0.8729402
2,1.516,8.822462,0.8729402
2,1.617,8.822462,0.8729402
2,1.718,8.822462,0.8729402
2,1.818,8.822462,0.8729402
2,1.918,8.822462,0.8729402
2,2.024,8.822462,0.8729402
2,2.124,8.822462,0.8729402
2,2.224,8.822462,0.8729402
2,2.325,8.822462,0.8729402
2,2.426,8.822462,0.8729402
2,2.526,8.822462,0.8729402
2,2.627,8.822462,0.8729402
2,2.732,8.822462,0.8729402
2,2.832,8.822462,0.8729402
2,2.932,8.822462,0.8729402
2,3.033,8.822462,0.8729402
2,3.133,8.822462,0.8729402
2,3.234,8.822462,0.8729402
2,3.334,8.822462,0.8729402
2,3.434,8.822462,0.8729402
2,3.534,8.822462,0.8729402
2,3.634,8.822462,0.8729402
2,3.734,8.822462,0.8729402
2,3.835,8.822462,0.8729402
2,3.935,8.822462,0.8729402
2,4.041,8.822462,0.8729402
2,4.141,8.822462,0.8729402
2,4.241,8.822462,0.8729402
2,4.341,8.822462,0.8729402
2,4.442,8.822462,0.8729402
2,4.542,8.822462,0.8729402
2,4.642,8.822462,0.8729402
2,4.743,8.822462,0.8729402
2,4.844,8.822462,0.8729402
2,4.944,8.822462,0.8729402
2,5.049,8.822462,0.8729402
2,5.150,8.822462,0.8729402
2,5.250,8.822462,0.8729402
2,5.350,8.822462,0.8729402
2,5.450,8.822462,0.8729402
2,5.551,8.822462,0.8729402
2,5.712,8.822462,0.8729402
2,5.814,8.822462,0.8729402
2,5.915,8.822462,0.8729402
2,6.017,8.822462,0.8729402
2,6.117,8.822462,0.8729402
2,6.217,8.822462,0.8729402
2,6.318,8.822462,0.9778972
2,6.418,8.822462,1.24618
2,6.519,8.821207,1.666536
2,6.619,8.801871,2.168447
2,6.720,8.73775,2.669586
2,6.822,8.602962,3.157238
2,6.928,8.372211,3.635618
2,7.030,8.07307,4.045537
2,7.131,7.759972,4.34831
2,7.231,7.422282,4.573533
2,7.332,6.972687,4.79661
2,7.433,6.503599,4.982901
2,7.534,6.019681,5.126923
2,7.635,5.518865,5.201827
2,7.736,5.016903,5.188848
2,7.836,4.525584,5.088926
2,7.937,4.058722,4.906121
2,8.037,3.623051,4.659249
2,8.138,3.261544,4.409603
2,8.238,3.032043,4.237464
2,8.338,2.948886,4.174607
2,8.439,2.948886,4.174607
2,8.539,2.948886,4.174607
2,8.640,2.948886,4.174607
2,8.745,2.948886,4.174607
2,8.845,2.948886,4.174607
2,8.946,2.948886,4.174607
2,9.046,2.948886,4.174607
2,9.146,2.948886,4.174607
2,9.247,2.948886,4.174607
2,9.347,2.948886,4.174607
2,9.448,2.949276,4.173369
2,9.548,2.985689,4.095107
2,9.648,3.121467,3.86553
2,9.748,3.358029,3.522182
2,9.849,3.652061,3.113726
2,9.949,3.943053,2.703951
2,10.050,4.214688,2.278777
2,10.151,4.440342,1.830507
2,10.251,4.589378,1.374887
2,10.352,4.639358,1.033305
2,10.452,4.63496,0.8444214
2,10.553,4.634085,0.8388658
2,10.654,4.634085,0.8388658
2,10.754,4.634085,0.8388658
2,10.854,4.634085,0.8388658
2,10.955,4.634085,0.8388658
2,11.055,4.634085,0.8388658
2,11.157,4.634085,0.8388658
2,11.257,4.634085,0.8388658
2,11.359,4.634085,0.8388658
2,11.461,4.634085,0.8388658
2,11.562,4.634085,0.8388658
2,11.663,4.634085,0.8388658
2,11.764,4.604215,0.8696247
2,11.866,4.478771,1.027825
2,11.966,4.28372,1.319291
2,12.067,4.0263,1.731139
2,12.168,3.759429,2.159958
2,12.268,3.493792,2.586795
2,12.369,3.227839,3.014138
2,12.469,2.962214,3.440956
2,12.570,2.696355,3.868149
2,12.671,2.42871,4.298099
2,12.773,2.15425,4.723036
2,12.873,1.854365,5.12628
2,12.973,1.510743,5.489253
2,13.074,1.110387,5.792683
2,13.175,0.6599231,6.022536
2,13.276,0.1785596,6.169457
2,13.377,-0.3233629,6.229957
2,13.478,-0.8249789,6.201742
2,13.578,-1.312413,6.086839
2,13.679,-1.774062,5.888288
2,13.779,-2.192687,5.613231
2,13.879,-2.556693,5.269805
2,13.980,-2.857081,4.865404
2,14.080,-3.081253,4.416323
2,14.181,-3.224113,3.933158
2,14.282,-3.279994,3.434901
2,14.382,-3.248014,2.933189
2,14.483,-3.1297,2.447511
2,14.583,-2.928684,1.98972
2,14.683,-2.650552,1.573108
2,14.784,-2.308846,1.215611
2,14.884,-2.008192,0.993039
2,14.985,-1.808095,0.892465
2,15.085,-1.755813,0.8746505
2,15.186,-1.755813,0.8746505
2,15.286,-1.755813,0.8746505
2,15.391,-1.755813,0.8746505
2,15.492,-1.755813,0.8746505
2,15.594,-1.755813,0.8746505
